URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://smart.who.int/trust/ValueSet/Actors,1.1.6,active,,Actors,WHO GDHCN Actor ValueSet of actor codes,"ValueSet of codes for actor codes",,"Internal"
http://smart.who.int/trust/ValueSet/ConnectionTypes,1.1.6,active,,ConnectionTypes,WHO GDHCN Connection Types,"ValueSet of GDHCN Trust Network Connection Types",,"Internal"
http://smart.who.int/trust/ValueSet/Domains,1.1.6,draft,,Domains,WHO GDHCN Trust Domains,"ValueSet of WHO GDHCN Trust Domains for Production environment",,"Internal"
http://smart.who.int/trust/ValueSet/Domains-DEV,1.1.6,draft,,Domains-DEV,WHO GDHCN Trust Domains - DEV,"ValueSet of WHO GDHCN Trust Domains for Development environment",,"Internal"
http://smart.who.int/trust/ValueSet/Domains-UAT,1.1.6,draft,,Domains-UAT,WHO GDHCN Trust Domains - UAT,"ValueSet of WHO GDHCN Trust Domains for User Acceptance Testing environment",,"Internal"
http://smart.who.int/trust/ValueSet/KeyUsage,1.1.6,active,,KeyUsage,WHO GDHCN  Key Usage ValueSet,"ValueSet of codes for key usage codes for Production environment",,"Internal"
http://smart.who.int/trust/ValueSet/KeyUsage-DEV,1.1.6,active,,KeyUsage-DEV,WHO GDHCN  Key Usage ValueSet - DEV,"ValueSet of codes for key usage codes for Development environment",,"Internal"
http://smart.who.int/trust/ValueSet/KeyUsage-UAT,1.1.6,active,,KeyUsage-UAT,WHO GDHCN  Key Usage ValueSet - UAT,"ValueSet of codes for key usage codes for User Acceptance Testing environment",,"Internal"
http://smart.who.int/trust/ValueSet/Participants,1.1.6,active,,Participants,WHO GDHCN Trust Network Participant,"ValueSet of GDHCN Trust Network Participants for Production environment",,"Internal"
http://smart.who.int/trust/ValueSet/Participants-DEV,1.1.6,active,,Participants-DEV,WHO GDHCN Trust Network Participant - DEV,"ValueSet of GDHCN Trust Network Participants for Development environment",,"Internal"
http://smart.who.int/trust/ValueSet/Participants-UAT,1.1.6,active,,Participants-UAT,WHO GDHCN Trust Network Participant - UAT,"ValueSet of GDHCN Trust Network Participants for User Acceptance Testing environment",,"Internal"
http://smart.who.int/trust/ValueSet/PayloadTypes,1.1.6,active,,PayloadTypes,WHO GDHCN Payload Types,"ValueSet of GDHCN Trust Network Payload Types",,"Internal"
http://smart.who.int/trust/ValueSet/Transactions,1.1.6,active,,Transactions,WHO GDHCN Transaction Codes,"ValueSet of WHO GDHCN Transaction Codes",,"Internal"
